Discovery,RMM Tools,Defense Evasion,Credential Theft,OffSec,Networking,LOLBAS,Exfiltration
ADExplorer,Action1,Avast Anti-Rootkit,GitGuardian,Cobalt Strike,Chisel,BCDEdit,Dropbox
ADRecon,AnyDesk,Backstab,Jecretz,Brute Ratel C4,Cloudflared,BITSAdmin,FileZilla
AdFind,Atera,Defender Control,KeeThief,Evilginx2,OpenSSH,NTDS Utility,FreeFileSync
Advanced IP Scanner,Chrome Remote Desktop,EMCO UnLock IT,LaZagne,Impacket,Ligolo,Process Explorer,MEGA
Advanced Port Scanner,DWAgent,Eraser,LostMyPassword,Koadic,Ngrok,PsExec,PrivatLab
Angry IP Scanner,FixMeIt,GMER,Mimikatz,Metasploit,Plink,Windows Event Utility,ProtonMail
AWS Systems Manager Inventory,Fleetdeck,IOBit,NirSoft BulletsPassView,Meterpreter,Proxifier,WMIC,Restic
Bloodhound,Level.io,PCHunter,NirSoft ChromePass,MicroBurst,Socat,,RClone
Lansweeper,LogMeIn,PowerTool,NirSoft Dialupass,Pacu,Sshimpanzee,,Sendspace
Nbtscan,MobaXterm,ProcessHacker,NirSoft ExtPassword,PowerShell Empire,Tailscale,,UFile
Nmap,N-Able,TDSSKiller,NirSoft IEPassView (iepv),PowerSploit,Termite,,WinSCP
Nping,NetSupport,ThreatFire System Monitor,NirSoft MailPassView,Rubeus,Wstunnel,,
PingCastle,Parsec,Universal Virus Sniffer,NirSoft Netpass,TinyMet,,,
PowerView,Pulseway,VirtualBox,NirSoft OperaPassView,ThunderShell,,,
PSNmap,RemotePC,YDArk,NirSoft RouterPassView,WinPEAS,,,
Seatbelt,RemoteUtilities,Zemana Anti-Rootkit,NirSoft RemoteDesktopPassView (rdpv),,,,
ServiceControl (sc.exe),RSAT,,NirSoft SniffPass,,,,
SharpShares,RustDesk,,NirSoft VNCPassView,,,,
ShareFinder,ScreenConnect,,NirSoft WebBrowserPassView,,,,
SharpView,SimpleHelp,,NirSoft WirelessKeyView,,,,
SoftPerfect NetScan,Splashtop,,PasswordFox,,,,
,SuperOps,,ProcDump,,,,
,Supremo,,RDP Recognizer,,,,
,TacticalRMM,,Router Scan,,,,
,TeamViewer,,SecretServerSecretStealer,,,,
,TightVNC,,SharpChrome,,,,
,Twingate,,SharpDump,,,,
,ZohoAssist,,Trufflehog,,,,
